client_id,name,gender,Sum of age,Age group,banking_relationship,Income Band,estimated_income,loyalty_classification,occupation,nationality,joined_bank,Year of joining with bank,fee_structure,Client Net Worth,amount_of_creditcards,creditcard_balance,bank_loans,bank_deposits,banking_contact,business_lending,risk_weighting,Risk Category,saving_accounts,checking_accounts,foreigncurrency_account,superannuation_savings,properties_owned
IND13792,Bruce Smith,Female,58,Adult (30-59),Commercial Banking,Medium,194156.82,Jade,Desktop Support Technician,European,28-01-2020,2020,High,-1526385.66,2,6404.31,1694406.78,129195.69,Dennis Ruiz,516239.46,4,High Risk,19766.94,78691.92,48734.73,25462.8,0
IND13801,Ashley Coleman,Male,19,Young (18-29),Commercial Banking,Medium,125706.35,Jade,Product Engineer,European,31-12-2016,2016,High,-1293691.63,1,4904.42,1617744.24,243600.03,Jesse Evans,526397.01,3,Moderate Risk,54417.43,94621.5,16818.52,30939.57,2
IND13898,Evelyn Taylor,Female,70,Senior (60 +),Private Banking,Low,75764.58,Platinum,Nuclear Power Engineer,European,07-03-2004,2004,High,948163.45,1,4635.32,158797.5,934525.89,Joshua Bennett,923993.41,2,Low Risk,161495.34,455677.92,41753.08,15575.04,3
IND13907,Victor Moreno,Male,29,Young (18-29),Private Banking,Medium,240590.16,Silver,Quality Control Specialist,European,07-03-2002,2002,Mid,1207980.24,1,7773.61,765479.58,1619706.12,Frank Brown,695693.87,2,Low Risk,306437.95,705355.89,46234.54,55089.36,2
IND13977,Jeremy Ortiz,Female,66,Senior (60 +),Private Banking,Low,77407.75,Platinum,Statistician I,European,19-08-2011,2011,Mid,-300873.18,3,1688.36,1005492.83,615712.78,Bruce Butler,733526.16,2,Low Risk,54827.76,381155.53,25887.43,35767.47,3
IND14040,John Carr,Male,77,Senior (60 +),Private Banking,High,372641.06,Jade,Cost Accountant,European,30-03-2017,2017,Mid,-1433636.91,1,3392.01,2021102.08,518507.01,Bruce Porter,1361037.13,3,Moderate Risk,43208.92,254170.1,88126.85,29141.25,2
IND14072,Irene Simmons,Male,27,Young (18-29),Private Banking,Low,33840.75,Jade,Quality Control Specialist,Asian,27-09-2000,2000,High,425678.75,3,2080.45,95921.09,383742.53,James Castillo,61551.16,1,Very Low Risk,130472.46,156798.02,1098.74,9465.3,3
IND14237,Scott Andrews,Female,39,Adult (30-59),Commercial Banking,Medium,108075.28,Platinum,Administrative Assistant III,Asian,27-04-2007,2007,Mid,1424704.79,3,8089.05,749152.78,1848506.27,Victor Ramos,405160.42,2,Low Risk,326332.45,545072.36,52023.54,7107.9,2
IND14292,Arthur Burns,Male,51,Adult (30-59),Private Banking,Medium,162807.39,Platinum,Accounting Assistant II,Asian,13-12-2005,2005,Low,1302220.98,1,811.96,709300.71,1667444.17,Shawn Long,270162.94,4,High Risk,274495.08,517118.76,2337.77,70394.4,2
IND14313,Gerald Dunn,Female,48,Adult (30-59),Commercial Banking,Medium,160941.08,Jade,Web Developer III,Australian,24-09-2019,2019,Low,1680639.87,3,2376.69,283464.14,1599208.31,Donald Reynolds,1062681,4,High Risk,351435.78,611079.6,923.5,15836.61,0
IND14347,Adam Fuller,Male,25,Young (18-29),Private Banking,High,316420.53,Silver,Graphic Designer,Asian,03-11-2000,2000,High,1856087.22,1,5680.11,795494.67,2379512.82,Chris Armstrong,2221786.2,5,Very High Risk,259385.06,1307823.84,61022.89,18364.12,2
IND14385,Roy Young,Male,42,Adult (30-59),Institutional Banking,Low,68236.5,Platinum,Programmer II,European,05-09-2011,2011,Mid,590840.82,2,2553.18,72967.86,445903.57,Bobby Burton,1019098.5,2,Low Risk,192216.29,153942.9,2836.68,28242,2
IND14471,Bobby Williamson,Male,21,Young (18-29),Commercial Banking,Medium,181394.41,Jade,Assistant Media Planner,Asian,16-03-2008,2008,Mid,-22402,1,1649.97,755733.21,597364.28,Joe Price,1550187.98,2,Low Risk,113641.44,251272.28,51140.22,23975.46,2
IND14540,Joseph Fuller,Male,32,Adult (30-59),Private Banking,Medium,110074.98,Gold,Programmer II,Asian,06-11-1999,1999,Mid,636993.89,1,6574.96,357739.16,843027.1,Shawn Cook,1722652.66,5,Very High Risk,123682.47,912317,6388.26,34598.44,3
IND14543,Peter Perry,Female,28,Young (18-29),Private Banking,Medium,268503.7,Gold,Geologist III,European,16-05-2003,2003,Mid,106075.17,2,1048.59,249597.43,224557.82,Jerry Green,413902.99,2,Low Risk,98728.01,193584.33,7123,33435.36,0
IND14559,Victor Morrison,Female,44,Adult (30-59),Retail Banking,Medium,217808.57,Platinum,Nurse,European,24-03-1996,1996,Low,1689641.87,1,468.72,303130.6,1763179.74,Shawn Wallace,867553.85,2,Low Risk,195798.27,1038000.98,36567.19,34263.18,2
IND14562,Albert Duncan,Female,63,Senior (60 +),Retail Banking,Low,31668.58,Jade,Chemical Engineer,European,01-02-2014,2014,Low,879671.41,3,2440.39,387639.88,1032771.07,Roger Alexander,1014635.93,1,Very Low Risk,232169.65,224220.04,17761.56,4810.96,1
IND14568,Norma Palmer,Female,45,Adult (30-59),Commercial Banking,Low,56683.77,Gold,Help Desk Technician,American,09-06-2001,2001,Mid,-376185.8,2,1396.32,446498.31,27640.08,Patrick Graham,569593.76,2,Low Risk,10034.75,27171.6,35122.85,34034,1
IND14605,Arthur Hanson,Male,55,Adult (30-59),Commercial Banking,Low,78017.16,Gold,Technical Writer,Asian,07-12-2005,2005,High,-88512.3,2,2082,424736.47,276501.05,Ernest Rivera,538018.4,1,Very Low Risk,54941.12,251364.59,11632.47,6864,1
IND14614,Robert Washington,Male,65,Senior (60 +),Commercial Banking,Medium,130987.36,Jade,Staff Accountant II,European,18-08-2018,2018,Mid,198499.61,1,4484.26,529607.93,589706.09,Shawn Cook,544902.07,5,Very High Risk,101662.01,631234.69,49008.52,41223.7,2
IND14696,Mary Wright,Female,78,Senior (60 +),Institutional Banking,Medium,177519.51,Jade,Programmer Analyst IV,European,20-04-2014,2014,Mid,-80123.26,1,2303.53,472207.03,294577.43,Douglas Tucker,273850.24,2,Low Risk,95148.51,140742.55,26784.25,4661.36,0
IND14715,James Lane,Female,53,Adult (30-59),Private Banking,Medium,109316.44,Jade,Computer Systems Analyst IV,American,15-12-2021,2021,Mid,456404,1,625.5,297293.53,568679.98,Bobby Burton,868200.06,2,Low Risk,159627.15,127842.79,62604.89,26015.9,1
IND14766,Debra Mendoza,Male,49,Adult (30-59),Commercial Banking,Medium,268215.7,Jade,Engineer IV,European,27-06-2019,2019,Mid,571546.58,3,1445.63,1100717.95,1399302.31,Dennis Ruiz,605027.67,4,High Risk,252617.41,742992.37,16392.68,21790.44,3
IND14798,Beverly Griffin,Male,74,Senior (60 +),Commercial Banking,Low,19637.78,Silver,Health Coach I,American,24-09-2014,2014,High,177029.45,2,78.14,24331.27,150917.77,Shawn Wallace,100054.72,1,Very Low Risk,40993.86,83660.94,17286.26,9527.23,0
IND14819,Mark Ward,Male,38,Adult (30-59),Institutional Banking,Medium,123570.37,Jade,Automation Specialist IV,Asian,25-01-2019,2019,Mid,-432660.95,1,1478.23,464089.94,19275.25,Donald Reynolds,534089.17,2,Low Risk,5698.77,16761.09,25492.38,7933.2,1
IND14845,Russell Mason,Female,84,Senior (60 +),Commercial Banking,Low,88363.59,Jade,Administrative Assistant II,Asian,21-11-2016,2016,Mid,44950.21,1,4651.1,289513.41,313284.24,George Lewis,463309.95,2,Low Risk,23433.66,162907.8,42386.18,2396.82,1
IND14852,Cynthia Snyder,Male,46,Adult (30-59),Private Banking,Medium,253872.85,Jade,Pharmacist,African,11-01-2016,2016,Mid,-430873.86,1,2467.04,565655.1,78916.1,Carl Nguyen,333489.39,2,Low Risk,52761.05,39458.05,10962.63,5571.13,1
IND14935,Christopher Woods,Female,43,Adult (30-59),Private Banking,Medium,282954.63,Silver,Staff Accountant IV,European,01-08-2013,2013,Low,-253294.99,1,4110.58,372766.7,74733.11,Samuel Fowler,171225.35,2,Low Risk,29965.28,32414.36,16825.18,18883.9,3
IND14959,Anne Weaver,Female,63,Senior (60 +),Private Banking,Low,38204.32,Silver,Statistician III,Asian,05-05-1995,1995,High,26417.75,1,1636.2,186596.29,168330.37,George Lewis,180635.27,1,Very Low Risk,14733.07,138330.9,31159.71,31586.8,0
IND14968,Ashley Powell,Female,25,Young (18-29),Private Banking,Medium,133280.53,Jade,Media Manager III,Asian,08-01-2009,2009,High,-597742.66,2,2765.44,897532.02,200786.44,Douglas Tucker,1580825.9,4,High Risk,47458.61,74672.64,25993.27,54309.75,3
IND15003,John Spencer,Male,52,Adult (30-59),Private Banking,Medium,140671.72,Silver,Senior Sales Associate,European,30-08-2004,2004,Mid,826538.61,1,4003.69,528083.56,1201314.95,Ernest Rivera,2249744.11,3,Moderate Risk,119731.06,770843.76,13151.29,37579.85,2
IND15006,Julia Gilbert,Male,65,Senior (60 +),Institutional Banking,Medium,116881.23,Jade,Safety Technician III,European,08-02-2012,2012,Mid,755163.23,1,3190.41,49665.68,674919.71,Nicholas Cunningham,280715.81,2,Low Risk,96594.01,433434.68,41898.49,36505.6,0
IND15036,Chris Cox,Female,21,Young (18-29),Private Banking,Medium,158341.71,Silver,Database Administrator II,Asian,03-03-2014,2014,High,666579.02,2,4771.03,209619.6,603125.13,Frank Brown,779158.77,2,Low Risk,248286.51,360199.73,40075.01,29558.01,2
IND15060,Eric Harrison,Male,45,Adult (30-59),Retail Banking,High,396219.01,Platinum,Programmer Analyst II,European,30-01-2015,2015,High,197264.03,2,8639.9,1377169.25,1373494.45,Steve Diaz,687064.56,4,High Risk,202361.52,755421.95,69776.62,7217.21,2
IND15069,Adam Simpson,Male,51,Adult (30-59),Commercial Banking,Low,74824.17,Platinum,Accounting Assistant II,American,31-08-2019,2019,Mid,79672.82,1,933.47,264724.38,263951.93,Samuel Fowler,511396.78,1,Very Low Risk,64772.02,172013.62,10286.42,16606.72,3
IND15083,Frank Ferguson,Male,82,Senior (60 +),Private Banking,Medium,140152.04,Gold,Cost Accountant,European,02-03-2007,2007,High,-452952.4,1,7373.11,1208729.22,572741.07,Joshua Bennett,2288946.11,3,Moderate Risk,156634.08,123033.27,1415.23,33774.78,2
IND15088,Betty Davis,Male,56,Adult (30-59),Private Banking,Low,67454.44,Silver,Marketing Manager,European,14-03-2013,2013,Mid,510410.75,1,2850.42,202973.22,515252.11,Jesse Evans,460614.28,1,Very Low Risk,182421.17,197330.6,29202.53,18561.11,1
IND15088,Margaret Coleman,Female,42,Adult (30-59),Private Banking,Medium,286607.89,Silver,Systems Administrator III,American,25-12-2010,2010,Mid,292529.47,2,6838.6,1737252.3,1822218.15,Keith Griffin,2515317.76,3,Moderate Risk,192592.16,1111108.63,38869.65,21810.06,3
IND15092,Eric Mendoza,Female,77,Senior (60 +),Private Banking,Medium,210595.73,Silver,Editor,American,16-12-2001,2001,Mid,1712863.77,1,8276.84,784128.83,2080505.71,Dennis Ruiz,299258.01,4,High Risk,396175.17,703269.54,30445.03,28588.56,1
IND15111,Randy Jacobs,Female,65,Senior (60 +),Commercial Banking,High,346235.31,Gold,Human Resources Assistant II,Asian,30-06-2012,2012,Low,-1510003.22,3,10135.91,2092196.45,482897.73,Jeremy Vasquez,2314479.35,3,Moderate Risk,83147.95,159899.91,89851.22,26283.46,1
IND15145,Eric Chavez,Female,36,Adult (30-59),Commercial Banking,High,446286.72,Jade,Software Engineer I,European,10-03-2009,2009,High,20086.72,2,8339.73,577470.79,472148.8,Steve Diaz,2376046.07,4,High Risk,109569.74,179494.58,7421.41,24178.7,3
IND15167,Matthew Lane,Female,68,Senior (60 +),Private Banking,Medium,218904.13,Silver,Biostatistician III,European,09-11-2015,2015,Mid,731711.31,1,4424.85,354944.9,841209.18,Dennis Ruiz,181543.71,2,Low Risk,229988.32,424940.72,13695.37,19883.56,1
IND15178,Mary Berry,Female,42,Adult (30-59),Private Banking,Medium,113585.69,Jade,Quality Engineer,Asian,19-10-2021,2021,Low,-74303.69,2,2641.91,251175.96,127040.6,Douglas Tucker,326192.58,1,Very Low Risk,43306.73,57874.05,25822.76,9166.85,0
IND15192,Raymond Marshall,Female,55,Adult (30-59),Private Banking,Medium,242808.69,Silver,Programmer III,European,31-10-2018,2018,Mid,-1245919.43,2,11040.56,1462141.88,161117.14,Jerry Green,955582.64,5,Very High Risk,43199.53,42796.74,102445.26,22946.34,1
IND15214,Joe Green,Female,39,Adult (30-59),Private Banking,Low,36326.86,Silver,VP Product Management,American,26-12-2021,2021,Mid,183671.67,1,3041.28,751165.61,782751.87,Roy Rice,631723.07,1,Very Low Risk,136712.69,334611.49,12228.89,18414,3
IND15278,Gerald Stone,Female,79,Senior (60 +),Commercial Banking,Low,60765.2,Jade,Human Resources Assistant I,Asian,23-06-2018,2018,Mid,475767.78,1,4526.79,662455.37,904884.79,Roger Alexander,1808460.91,2,Low Risk,210404.11,331055.41,59849.61,27461.04,3
IND15290,Chris Nelson,Female,79,Senior (60 +),Retail Banking,Medium,227427.3,Silver,Database Administrator II,Asian,13-11-2017,2017,Low,-753519.34,2,264.77,915680.57,96740.84,Bobby Burton,418918.39,3,Moderate Risk,41222.35,55088.54,41414.78,24462.81,0
IND15294,Gregory Rivera,Male,67,Senior (60 +),Institutional Banking,Low,66477.68,Jade,Dental Hygienist,European,05-04-2002,2002,High,392012.32,2,1939.61,232533.11,569217.38,Anthony Torres,226707.86,1,Very Low Risk,49726.83,359745.38,21058.31,7540.83,3
IND15363,Juan Riley,Male,56,Adult (30-59),Private Banking,Medium,146380.61,Gold,Programmer III,Asian,26-06-2000,2000,High,479225.76,1,5958.39,338237.2,665273.41,Nicholas Cunningham,1196080.23,2,Low Risk,142584.27,175308.53,65572.5,15563.67,2
IND15365,Andrew Diaz,Female,28,Young (18-29),Retail Banking,Low,55235.7,Gold,General Manager,American,17-08-2003,2003,High,45533.12,1,655.78,347648.93,320943.11,Patrick Graham,106479.91,1,Very Low Risk,60687.42,248001.49,7385.66,12207.3,1
IND15396,Samuel Young,Female,30,Adult (30-59),Institutional Banking,Low,95229.75,Gold,Senior Editor,Asian,13-05-2009,2009,Mid,-5689.95,1,4033.13,552450.38,496049.87,Anthony Torres,905627.93,2,Low Risk,51589.19,268234.38,58599.45,3154.5,3
IND15455,Juan Perez,Female,50,Adult (30-59),Retail Banking,Low,60079.88,Silver,Accountant III,European,12-12-2000,2000,Mid,53631.21,2,4626.59,229342.96,223456.3,Nicholas Cunningham,121301.61,2,Low Risk,22997.38,188541.25,27676.15,41147.08,2
IND15466,Karen Meyer,Male,76,Senior (60 +),Institutional Banking,Medium,121206.49,Jade,Associate Professor,Asian,20-12-2020,2020,Low,824949.67,2,3497.84,542515.31,1065754.43,Jonathan Hawkins,546214.17,4,High Risk,280356.11,714682.38,41697.7,24852.28,2
IND15556,Lawrence Morales,Male,22,Young (18-29),Private Banking,Medium,252385.91,Jade,Paralegal,European,26-07-2008,2008,High,3163311.09,1,1479.88,186590.37,2709947.02,Gregory Simmons,1300585.44,3,Moderate Risk,585630.11,633494.11,108607.42,55804.21,0
IND15581,Jonathan Hunter,Female,35,Adult (30-59),Private Banking,High,352957.97,Silver,Financial Advisor,Australian,26-09-2010,2010,Mid,-255045.64,1,4321.77,882153.62,469038.88,Douglas Tucker,2186957.29,4,High Risk,98288.15,161013.35,18318.87,64102.72,2
IND15624,Maria King,Male,36,Adult (30-59),Private Banking,High,491409.52,Platinum,Office Assistant IV,African,25-03-2011,2011,Mid,-781901.1,2,4891.11,1468097.33,521357.75,Dennis Morris,512143.41,5,Very High Risk,135553.02,181149.73,103795.38,34176.57,2
IND15625,Russell Hansen,Female,53,Adult (30-59),Retail Banking,Medium,196620.55,Silver,Assistant Media Planner,American,25-04-2016,2016,Mid,2327913.84,3,7586.08,376984.12,2262231.9,Raymond Alexander,503031.21,5,Very High Risk,385692,1112573.07,67077.48,64560.14,2
IND15640,Stephanie Ryan,Male,20,Young (18-29),Private Banking,Low,98968.44,Silver,Community Outreach Specialist,European,09-07-2005,2005,Mid,-223288.38,1,2510.51,314046.53,54931.97,Nicholas Simmons,738231.09,1,Very Low Risk,21344.99,19316.74,12134.82,16991.7,1
IND15648,Aaron Williams,Female,78,Senior (60 +),Commercial Banking,Low,74408.69,Platinum,Software Engineer III,Australian,06-01-2005,2005,High,252529.44,2,494.76,24949.1,188138.63,Chris Armstrong,326434.35,1,Very Low Risk,61145.05,218375.19,12141.52,28689.62,2
IND15664,Ann GoPKRales,Female,56,Adult (30-59),Private Banking,Medium,233672.19,Jade,Legal Assistant,European,22-03-2016,2016,High,81465.27,1,1655.72,89810.62,122739.52,Joe Hanson,1081803.67,2,Low Risk,45953.68,34367.07,40962.64,4238.41,0
IND15721,Matthew Ellis,Female,84,Senior (60 +),Institutional Banking,Low,67982.46,Jade,Systems Administrator III,European,07-05-2001,2001,Mid,-190899.41,1,3555.46,1042319.02,694986.09,Joshua Bennett,148679.48,2,Low Risk,151194.93,418410,61585.59,8794.05,2
IND15735,Bobby Lee,Male,77,Senior (60 +),Private Banking,Low,92225.58,Jade,Desktop Support Technician,Asian,26-10-2019,2019,Mid,438561.49,1,3571.2,0,391405.92,Gregory Simmons,496597.9,2,Low Risk,37946.47,258725.95,37221.09,12780.3,3
IND15739,Arthur Fuller,Female,50,Adult (30-59),Retail Banking,Medium,205568.33,Platinum,Human Resources Assistant I,European,08-11-1999,1999,High,570576.97,1,3975.54,119101.88,606081.5,Jerry Green,1007604.78,5,Very High Risk,65488.29,661179.81,23952.42,22084.6,2
IND15747,Earl Jordan,Male,57,Adult (30-59),Commercial Banking,High,362306.18,Platinum,Nurse Practicioner,Australian,08-02-2002,2002,High,2011039.84,2,7059.63,964779.41,2774465.91,Anthony Simpson,1068649.97,3,Moderate Risk,164360.77,1439912.69,23523.13,44052.2,0
IND15764,Jennifer Fields,Female,71,Senior (60 +),Private Banking,Medium,291240.72,Jade,Office Assistant III,Asian,27-10-2019,2019,High,-410675.86,2,3655.52,1016372.58,426063.72,Joshua Bennett,1468523.42,2,Low Risk,159518.26,119297.84,46176.4,23770.26,1
IND15767,Nicholas Vasquez,Female,56,Adult (30-59),Private Banking,Low,58211.57,Silver,Programmer Analyst III,American,07-06-2021,2021,Low,34997.02,3,3026.61,292505.69,260533.74,Jason Duncan,745970.34,1,Very Low Risk,52270.86,104623.78,5871.62,17724.72,0
